"Cause","Cause group","Scenario","Age group (years)","Total expected avoidable deaths","Joint lower 95% simulation limit","Joint upper 95% simulation limit","Contributing cells","Interval method"
"Acute Pancreatitis","Other causes","Volume -10%","60-65",2.3371365390347,1.48849982172293,4.02509515709736,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Breast Cancer","Cancer","Volume -10%","15-29",0.0854473216366227,0.0775781592935,0.0946877434155415,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Breast Cancer","Cancer","Volume -10%","30-44",1.91001884512137,1.74116126863914,2.10733944086838,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Breast Cancer","Cancer","Volume -10%","45-59",4.50602288240859,4.0759481887614,4.98873383912303,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Breast Cancer","Cancer","Volume -10%","60-65",1.6384795906116,1.44662266667845,1.86245553372852,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Colon and rectum Cancer","Cancer","Volume -10%","15-29",0.317995416294166,0.260247903966546,0.386420096040369,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Colon and rectum Cancer","Cancer","Volume -10%","30-44",3.10008424525798,2.55525608490284,3.71934031832014,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Colon and rectum Cancer","Cancer","Volume -10%","45-59",11.9416770620103,9.72584900194234,14.4189857095405,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Colon and rectum Cancer","Cancer","Volume -10%","60-65",6.70118980207038,5.13284267168177,8.51848348354431,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"DM2","Other causes","Volume -10%","15-29",-0.00972104481501979,-0.0351815789333269,0.0267344382612139,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"DM2","Other causes","Volume -10%","30-44",-0.0120663794159214,-0.133415817410574,0.158696833462636,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"DM2","Other causes","Volume -10%","45-59",-0.0994101385738696,-0.748539122683036,0.795726457869051,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"DM2","Other causes","Volume -10%","60-65",-0.299292528441745,-0.800404670308544,0.349044512701859,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Epilepsy","Neuropsychiatric","Volume -10%","15-29",2.66790227004933,2.14524220940174,3.2971000641111,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Epilepsy","Neuropsychiatric","Volume -10%","30-44",4.87600227863441,3.93730254626892,5.94762179003626,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Epilepsy","Neuropsychiatric","Volume -10%","45-59",7.17373864446257,5.71092300325977,8.82532054934394,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Epilepsy","Neuropsychiatric","Volume -10%","60-65",2.07428592203572,1.5318839071575,2.71953977417028,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"HIV","Other causes","Volume -10%","15-29",0.823475260210851,0.595780815737636,1.05808508134676,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"HIV","Other causes","Volume -10%","30-44",4.27364326201539,3.08335568236465,5.46731694478325,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"HIV","Other causes","Volume -10%","45-59",3.56411349697703,2.71717891629122,4.43633033926633,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"HIV","Other causes","Volume -10%","60-65",0.400190130352912,0.24607435640837,0.55183724771656,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Hypertensive Heart Disease","Cardiovascular","Volume -10%","15-29",0.133604023911517,0.117434251545664,0.152232008949864,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Hypertensive Heart Disease","Cardiovascular","Volume -10%","30-44",1.34408589188874,1.19435504028204,1.51125448979743,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
