"Cause","Cause group","Scenario","Age group (years)","Total expected avoidable deaths","Joint lower 95% simulation limit","Joint upper 95% simulation limit","Contributing cells","Interval method"
"Road Injuries","Injuries","HED -50%: no shift","30-44",547.688633603609,459.933968625464,625.958592073941,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","HED -50%: no shift","45-59",433.337451668298,357.692606348494,506.794735544068,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","HED -50%: no shift","60-65",110.076229142988,89.2741432879811,133.090316183155,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","HED -50%: no shift","15-29",289.052177530958,230.721629382885,348.146456893995,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","HED -50%: no shift","30-44",429.49245687653,342.175619128483,512.636890069309,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","HED -50%: no shift","45-59",415.300401653117,328.587350988618,504.530474008467,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","HED -50%: no shift","60-65",117.341354949722,92.2676885336144,146.331192460811,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","HED -10%: complete shift","15-29",97.2263722327172,69.6202637590857,125.631919288943,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","HED -10%: complete shift","30-44",112.748737027393,80.7025028383243,144.155359600224,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","HED -10%: complete shift","45-59",65.8092554455456,46.1756337793207,86.8015552973001,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","HED -10%: complete shift","60-65",11.8015585182854,8.22876055225229,16.2660051473235,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","HED -10%: complete shift","15-29",0.565647166213943,0.38988444240447,0.797568175383786,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","HED -10%: complete shift","30-44",4.48285144803415,3.62655436713431,5.64678440874962,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","HED -10%: complete shift","45-59",20.3045939968662,16.476706849101,25.4606602052943,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","HED -10%: complete shift","60-65",9.89777009666015,7.88917462819693,12.6064285746508,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","HED -10%: complete shift","15-29",0.212622224587152,0.146215503138816,0.310408491193043,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","HED -10%: complete shift","30-44",1.04264463419032,0.835287052847564,1.28899428339551,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","HED -10%: complete shift","45-59",5.05375128851875,4.00732528270672,6.31303922431099,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","HED -10%: complete shift","60-65",3.61585333421744,2.81564303507096,4.56497544460286,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","HED -10%: complete shift","15-29",105.731059615983,89.5776735996865,120.981090106842,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","HED -10%: complete shift","30-44",112.617561856295,95.281707314486,127.969894022351,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","HED -10%: complete shift","45-59",89.2068706491439,74.2067264059627,103.723294513091,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","HED -10%: complete shift","60-65",22.5844872853121,18.4314693929739,27.1477485828899,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","HED -10%: complete shift","15-29",59.5001459393645,47.9074854496123,71.2590234370253,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","HED -10%: complete shift","30-44",88.4820041364303,71.1575653788976,104.838438192101,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","HED -10%: complete shift","45-59",85.6273551871375,68.3212969198694,103.40905294715,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","HED -10%: complete shift","60-65",24.1098355387253,19.1213842852552,29.8777082917387,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","HED -25%: complete shift","15-29",243.065930581793,174.050659397713,314.079798222357,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","HED -25%: complete shift","30-44",281.871842568482,201.756257095811,360.388399000558,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","HED -25%: complete shift","45-59",164.523138613864,115.439084448301,217.00388824325,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","HED -25%: complete shift","60-65",29.5038962957136,20.5719013806306,40.6650128683089,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","HED -25%: complete shift","15-29",1.41411791553487,0.974711106011196,1.99392043845945,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","HED -25%: complete shift","30-44",11.2071286200855,9.06638591783571,14.1169610218741,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","HED -25%: complete shift","45-59",50.7614849921649,41.1917671227531,63.6516505132364,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","HED -25%: complete shift","60-65",24.7444252416506,19.7229365704927,31.5160714366272,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","HED -25%: complete shift","15-29",0.531555561467876,0.36553875784704,0.776021227982609,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","HED -25%: complete shift","30-44",2.60661158547581,2.0882176321189,3.22248570848877,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","HED -25%: complete shift","45-59",12.6343782212969,10.0183132067668,15.7825980607774,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","HED -25%: complete shift","60-65",9.03963333554355,7.03910758767739,11.412438611507,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","HED -25%: complete shift","15-29",264.327649039958,223.944183999216,302.452725267104,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","HED -25%: complete shift","30-44",281.543904640737,238.204268286215,319.924735055878,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","HED -25%: complete shift","45-59",223.01717662286,185.516816014907,259.308236282728,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","HED -25%: complete shift","60-65",56.4612182132803,46.0786734824348,67.8693714572248,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","HED -25%: complete shift","15-29",148.750364848411,119.768713624031,178.147558592564,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","HED -25%: complete shift","30-44",221.205010341076,177.893913447244,262.096095480254,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","HED -25%: complete shift","45-59",214.068387967844,170.803242299674,258.522632367875,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","HED -25%: complete shift","60-65",60.2745888468133,47.8034607131378,74.6942707293467,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","HED -50%: complete shift","15-29",486.131861163586,348.101318795427,628.159596444713,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","HED -50%: complete shift","30-44",563.743685136964,403.512514191622,720.776798001116,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","HED -50%: complete shift","45-59",329.046277227728,230.878168896603,434.007776486501,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","HED -50%: complete shift","60-65",59.0077925914273,41.1438027612612,81.3300257366177,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","HED -50%: complete shift","15-29",2.82823583106974,1.94942221202241,3.9878408769189,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","HED -50%: complete shift","30-44",22.4142572401712,18.1327718356716,28.2339220437481,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","HED -50%: complete shift","45-59",101.522969984331,82.3835342455061,127.303301026473,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","HED -50%: complete shift","60-65",49.4888504833014,39.4458731409851,63.0321428732548,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","HED -50%: complete shift","15-29",1.06311112293575,0.731077515694079,1.55204245596522,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","HED -50%: complete shift","30-44",5.21322317095164,4.17643526423781,6.44497141697754,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","HED -50%: complete shift","45-59",25.2687564425938,20.0366264135335,31.5651961215548,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","HED -50%: complete shift","60-65",18.0792666710871,14.0782151753548,22.8248772230142,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","HED -50%: complete shift","15-29",528.655298079916,447.888367998432,604.905450534208,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","HED -50%: complete shift","30-44",563.087809281475,476.40853657243,639.849470111757,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","HED -50%: complete shift","45-59",446.03435324572,371.033632029813,518.616472565456,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","HED -50%: complete shift","60-65",112.922436426561,92.1573469648697,135.73874291445,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","HED -50%: complete shift","15-29",297.500729696823,239.537427248062,356.295117185128,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","HED -50%: complete shift","30-44",442.410020682151,355.787826894489,524.192190960508,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","HED -50%: complete shift","45-59",428.136775935688,341.606484599348,517.045264735751,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","HED -50%: complete shift","60-65",120.549177693626,95.6069214262756,149.388541458694,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Combined 10/25: no shift","15-29",243.274645048964,173.173921507036,315.622198043082,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Combined 10/25: no shift","30-44",282.777689859335,201.267240467103,362.86026755957,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Combined 10/25: no shift","45-59",165.588010861178,115.630323968185,219.226699423723,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Combined 10/25: no shift","60-65",29.9182752277277,20.8376744609484,41.2253141039351,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Combined 10/25: no shift","15-29",1.83160132954328,1.23936930255544,2.56468888202814,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Combined 10/25: no shift","30-44",14.5736950874269,11.837859862965,18.4010820394251,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Combined 10/25: no shift","45-59",57.7834306079583,47.5843504760449,72.8833119608047,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Combined 10/25: no shift","60-65",27.2335362387894,21.9489581700488,35.0391682298663,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Combined 10/25: no shift","15-29",0.540590073047753,0.371428031933195,0.993796346915362,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Combined 10/25: no shift","30-44",2.64610833442727,2.11550049904787,3.47339230589711,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Combined 10/25: no shift","45-59",11.766587553939,9.37369653506982,15.336026045596,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Combined 10/25: no shift","60-65",8.85003105160908,6.89232649972415,11.4341847498854,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Combined 10/25: no shift","15-29",267.321282698067,225.895052126134,306.685452172836,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Combined 10/25: no shift","30-44",285.381431528686,240.809589704529,324.799704444627,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Combined 10/25: no shift","45-59",226.749657369044,188.342385084892,264.078544572607,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Combined 10/25: no shift","60-65",57.6651941259966,47.0582636279779,69.3436056798907,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Combined 10/25: no shift","15-29",149.398378342888,120.009128911023,179.096343735952,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Combined 10/25: no shift","30-44",222.541103716202,178.488395002802,264.167404900325,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Combined 10/25: no shift","45-59",215.894326617664,171.825922415969,261.073761840533,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Combined 10/25: no shift","60-65",61.1208876504744,48.4112998630102,75.6736194641509,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Combined 20/50: no shift","15-29",484.379949567878,344.779054073325,628.307054485378,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Combined 20/50: no shift","30-44",562.93922950252,400.74549971595,722.455823824959,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Combined 20/50: no shift","45-59",329.537369845575,230.191860678104,436.123069704937,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Combined 20/50: no shift","60-65",59.5553675646062,41.499021803866,82.0441128970645,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Combined 20/50: no shift","15-29",3.59898764959138,2.42145863568231,5.03730963013679,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Combined 20/50: no shift","30-44",28.6046335975652,23.1090951199211,36.0114833373512,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Combined 20/50: no shift","45-59",112.056400024303,91.6342642831892,141.467940026378,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Combined 20/50: no shift","60-65",52.5909770792821,42.123774056172,67.6859495471887,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Combined 20/50: no shift","15-29",1.07646244305645,0.736523177646441,1.75222110532401,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Combined 20/50: no shift","30-44",5.24796621754109,4.20323880093077,6.69290126986967,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Combined 20/50: no shift","45-59",23.2625834264397,18.4904350913843,29.6764580113049,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Combined 20/50: no shift","60-65",17.4984865939148,13.6037857759579,22.3289591322623,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Combined 20/50: no shift","15-29",531.06467749502,448.776897114566,608.982454942051,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Combined 20/50: no shift","30-44",566.776450304781,478.243753026732,645.041780692044,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Combined 20/50: no shift","45-59",450.085962591222,373.866085996397,524.236251060726,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Combined 20/50: no shift","60-65",114.519663826527,93.4865060053604,137.747633771198,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Combined 20/50: no shift","15-29",297.481803657562,239.043947892213,356.59989109605,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Combined 20/50: no shift","30-44",442.998988191554,355.309552405094,525.899413965538,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Combined 20/50: no shift","45-59",429.650024610766,342.016424423151,519.537800585686,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Combined 20/50: no shift","60-65",121.673754293643,96.4150099761315,150.717932116866,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Combined 30/50: no shift","15-29",492.73622948457,353.341493299725,636.756939892966,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Combined 30/50: no shift","30-44",573.245541968304,411.208985266607,732.972981740684,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Combined 30/50: no shift","45-59",336.212794331231,236.461458927903,443.293185504558,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Combined 30/50: no shift","60-65",60.8664282576634,42.7128055824446,83.3867797270961,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Combined 30/50: no shift","15-29",3.45875120773994,2.38684515420593,4.87033777758123,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Combined 30/50: no shift","30-44",27.4678350918804,22.5526923390051,34.654652682583,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Combined 30/50: no shift","45-59",107.30086804568,89.5768662395931,135.437926099395,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Combined 30/50: no shift","60-65",47.5544820204808,38.3601991715066,62.2077292352521,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Combined 30/50: no shift","15-29",1.13735319194029,0.783310635987551,1.88283170282785,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Combined 30/50: no shift","30-44",5.55574569631049,4.44755626890478,7.18726944758809,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Combined 30/50: no shift","45-59",25.4621478342083,20.0698098169535,32.9579282960205,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Combined 30/50: no shift","60-65",19.0700023206286,14.6078266815839,24.8452527476608,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Combined 30/50: no shift","15-29",539.304545833484,456.916200821435,617.540027640353,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Combined 30/50: no shift","30-44",576.116682412162,487.694826788049,654.519244748294,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Combined 30/50: no shift","45-59",458.250008309421,381.728688885132,532.727181033962,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Combined 30/50: no shift","60-65",116.69216485767,95.5182353532261,139.964616078208,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Combined 30/50: no shift","15-29",301.639391747839,243.047384299933,360.852444803783,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Combined 30/50: no shift","30-44",449.654517961141,361.704721041019,532.610960041842,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Combined 30/50: no shift","45-59",436.703972213106,348.664557332606,526.516785722094,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Combined 30/50: no shift","60-65",123.807565658945,98.4383746249706,152.888052972223,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Combined 10/25: complete shift","15-29",251.629765186313,182.244765375881,323.210797268285,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Combined 10/25: complete shift","30-44",292.479765567512,211.774205545827,371.902804179174,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Combined 10/25: complete shift","45-59",171.42791290723,121.637235953198,224.755289909889,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Combined 10/25: complete shift","60-65",30.8622330393011,21.770822691092,42.1056737417529,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
