Year	disease	sex	age_group	AAF	LL	UL	muertes	att_mort	att_mort_low	att_mort_up
2018	Oesophagus Cancer	Male	30-44	0,167	0,155	0,179	4	1	1	1
2018	Oesophagus Cancer	Male	45-59	0,168	0,156	0,181	37	6	6	7
2018	Oesophagus Cancer	Male	60+	0,163	0,152	0,175	354	58	54	62
2020	Oesophagus Cancer	Male	15-29	0,163	0,151	0,175	0	0	0	0
2020	Oesophagus Cancer	Male	30-44	0,192	0,178	0,207	3	1	1	1
2020	Oesophagus Cancer	Male	45-59	0,181	0,167	0,195	29	5	5	6
2020	Oesophagus Cancer	Male	60+	0,173	0,161	0,186	348	60	56	65
2022	Oesophagus Cancer	Male	15-29	0,144	0,133	0,155	1	0	0	0
2022	Oesophagus Cancer	Male	30-44	0,182	0,169	0,196	4	1	1	1
2022	Oesophagus Cancer	Male	45-59	0,172	0,159	0,185	30	5	5	6
2022	Oesophagus Cancer	Male	60+	0,17	0,157	0,183	332	56	52	61
2024	Oesophagus Cancer	Male	15-29	0,137	0,128	0,148	0	0	0	0
2024	Oesophagus Cancer	Male	30-44	0,168	0,156	0,18	4	1	1	1
2024	Oesophagus Cancer	Male	45-59	0,171	0,158	0,186	33	6	5	6
2024	Oesophagus Cancer	Male	60+	0,162	0,15	0,174	317	51	48	55
2012	Oral Cavity and Pharynx Cancer	Female	15-29	0,146	0,131	0,162	0	0	0	0
2012	Oral Cavity and Pharynx Cancer	Female	30-44	0,118	0,109	0,127	2	0	0	0
2012	Oral Cavity and Pharynx Cancer	Female	45-59	0,109	0,101	0,118	16	2	2	2
2012	Oral Cavity and Pharynx Cancer	Female	60+	0,098	0,091	0,106	70	7	6	7
2014	Oral Cavity and Pharynx Cancer	Female	15-29	0,17	0,152	0,189	0	0	0	0
2014	Oral Cavity and Pharynx Cancer	Female	30-44	0,154	0,14	0,17	4	1	1	1
2014	Oral Cavity and Pharynx Cancer	Female	45-59	0,143	0,131	0,156	6	1	1	1
2014	Oral Cavity and Pharynx Cancer	Female	60+	0,122	0,112	0,133	59	7	7	8
2016	Oral Cavity and Pharynx Cancer	Female	15-29	0,159	0,143	0,175	1	0	0	0
2016	Oral Cavity and Pharynx Cancer	Female	30-44	0,142	0,132	0,154	4	1	1	1
2016	Oral Cavity and Pharynx Cancer	Female	45-59	0,125	0,117	0,133	18	2	2	2
2016	Oral Cavity and Pharynx Cancer	Female	60+	0,116	0,11	0,124	77	9	8	10
2018	Oral Cavity and Pharynx Cancer	Female	15-29	0,15	0,136	0,165	0	0	0	0
2018	Oral Cavity and Pharynx Cancer	Female	30-44	0,143	0,132	0,156	5	1	1	1
2018	Oral Cavity and Pharynx Cancer	Female	45-59	0,126	0,119	0,135	15	2	2	2
2018	Oral Cavity and Pharynx Cancer	Female	60+	0,118	0,111	0,125	71	8	8	9
2020	Oral Cavity and Pharynx Cancer	Female	15-29	0,171	0,154	0,189	0	0	0	0
2020	Oral Cavity and Pharynx Cancer	Female	30-44	0,164	0,149	0,18	6	1	1	1
2020	Oral Cavity and Pharynx Cancer	Female	45-59	0,149	0,137	0,161	20	3	3	3
2020	Oral Cavity and Pharynx Cancer	Female	60+	0,133	0,125	0,142	68	9	8	10
2022	Oral Cavity and Pharynx Cancer	Female	15-29	0,163	0,148	0,18	0	0	0	0
2022	Oral Cavity and Pharynx Cancer	Female	30-44	0,159	0,145	0,174	4	1	1	1
2022	Oral Cavity and Pharynx Cancer	Female	45-59	0,135	0,126	0,145	7	1	1	1
2022	Oral Cavity and Pharynx Cancer	Female	60+	0,122	0,114	0,13	103	13	12	13
2024	Oral Cavity and Pharynx Cancer	Female	15-29	0,136	0,124	0,15	1	0	0	0
2024	Oral Cavity and Pharynx Cancer	Female	30-44	0,159	0,145	0,175	4	1	1	1
2024	Oral Cavity and Pharynx Cancer	Female	45-59	0,132	0,122	0,143	13	2	2	2
2024	Oral Cavity and Pharynx Cancer	Female	60+	0,117	0,109	0,126	111	13	12	14
2012	Oral Cavity and Pharynx Cancer	Male	15-29	0,27	0,234	0,308	3	1	1	1
2012	Oral Cavity and Pharynx Cancer	Male	30-44	0,266	0,233	0,302	3	1	1	1
2012	Oral Cavity and Pharynx Cancer	Male	45-59	0,296	0,256	0,337	37	11	9	12
2012	Oral Cavity and Pharynx Cancer	Male	60+	0,25	0,217	0,286	135	34	29	39
2014	Oral Cavity and Pharynx Cancer	Male	15-29	0,297	0,257	0,34	2	1	1	1
2014	Oral Cavity and Pharynx Cancer	Male	30-44	0,319	0,277	0,363	4	1	1	1
2014	Oral Cavity and Pharynx Cancer	Male	45-59	0,334	0,29	0,38	27	9	8	10
2014	Oral Cavity and Pharynx Cancer	Male	60+	0,28	0,244	0,317	118	33	29	37
2016	Oral Cavity and Pharynx Cancer	Male	15-29	0,273	0,239	0,308	2	1	0	1
2016	Oral Cavity and Pharynx Cancer	Male	30-44	0,266	0,234	0,3	5	1	1	2
2016	Oral Cavity and Pharynx Cancer	Male	45-59	0,284	0,248	0,323	36	10	9	12
2016	Oral Cavity and Pharynx Cancer	Male	60+	0,235	0,208	0,264	143	34	30	38
2018	Oral Cavity and Pharynx Cancer	Male	15-29	0,249	0,218	0,282	3	1	1	1
2018	Oral Cavity and Pharynx Cancer	Male	30-44	0,28	0,245	0,319	8	2	2	3
2018	Oral Cavity and Pharynx Cancer	Male	45-59	0,283	0,247	0,322	46	13	11	15
2018	Oral Cavity and Pharynx Cancer	Male	60+	0,269	0,236	0,304	141	38	33	43
2020	Oral Cavity and Pharynx Cancer	Male	15-29	0,274	0,24	0,311	0	0	0	0
2020	Oral Cavity and Pharynx Cancer	Male	30-44	0,323	0,283	0,364	6	2	2	2
2020	Oral Cavity and Pharynx Cancer	Male	45-59	0,306	0,266	0,347	26	8	7	9
2020	Oral Cavity and Pharynx Cancer	Male	60+	0,288	0,252	0,327	155	45	39	51
2022	Oral Cavity and Pharynx Cancer	Male	15-29	0,241	0,211	0,274	2	0	0	1
2022	Oral Cavity and Pharynx Cancer	Male	30-44	0,306	0,269	0,347	9	3	2	3
2022	Oral Cavity and Pharynx Cancer	Male	45-59	0,287	0,25	0,326	43	12	11	14
2022	Oral Cavity and Pharynx Cancer	Male	60+	0,282	0,245	0,321	187	53	46	60
2024	Oral Cavity and Pharynx Cancer	Male	15-29	0,226	0,199	0,257	1	0	0	0
2024	Oral Cavity and Pharynx Cancer	Male	30-44	0,28	0,246	0,317	5	1	1	2
2024	Oral Cavity and Pharynx Cancer	Male	45-59	0,291	0,252	0,332	43	13	11	14
2024	Oral Cavity and Pharynx Cancer	Male	60+	0,265	0,231	0,303	170	45	39	52
2012	Pancreatic Cancer	Female	15-29	0,132	0,123	0,142	1	0	0	0
2012	Pancreatic Cancer	Female	30-44	0,14	0,131	0,15	9	1	1	1
2012	Pancreatic Cancer	Female	45-59	0,13	0,12	0,139	105	14	13	15
2012	Pancreatic Cancer	Female	60+	0,129	0,12	0,138	559	72	67	77
2014	Pancreatic Cancer	Female	15-29	0,143	0,134	0,153	0	0	0	0
2014	Pancreatic Cancer	Female	30-44	0,146	0,136	0,155	6	1	1	1
2014	Pancreatic Cancer	Female	45-59	0,148	0,138	0,157	92	14	13	14
2014	Pancreatic Cancer	Female	60+	0,137	0,128	0,147	598	82	77	88
2016	Pancreatic Cancer	Female	15-29	0,137	0,127	0,146	5	1	1	1
2016	Pancreatic Cancer	Female	30-44	0,157	0,148	0,167	14	2	2	2
2016	Pancreatic Cancer	Female	45-59	0,159	0,149	0,168	111	18	17	19
2016	Pancreatic Cancer	Female	60+	0,162	0,152	0,171	686	111	104	117
2018	Pancreatic Cancer	Female	15-29	0,145	0,136	0,155	0	0	0	0
2018	Pancreatic Cancer	Female	30-44	0,151	0,141	0,161	17	3	2	3
2018	Pancreatic Cancer	Female	45-59	0,168	0,159	0,177	116	19	18	21
2018	Pancreatic Cancer	Female	60+	0,167	0,158	0,177	660	110	104	117
2020	Pancreatic Cancer	Female	15-29	0,159	0,149	0,168	0	0	0	0
2020	Pancreatic Cancer	Female	30-44	0,155	0,146	0,165	6	1	1	1
2020	Pancreatic Cancer	Female	45-59	0,167	0,157	0,176	103	17	16	18
2020	Pancreatic Cancer	Female	60+	0,177	0,168	0,186	772	137	130	144
2022	Pancreatic Cancer	Female	15-29	0,158	0,149	0,168	0	0	0	0
2022	Pancreatic Cancer	Female	30-44	0,161	0,152	0,171	13	2	2	2
2022	Pancreatic Cancer	Female	45-59	0,172	0,162	0,181	110	19	18	20
2022	Pancreatic Cancer	Female	60+	0,171	0,161	0,18	830	142	134	149
2024	Pancreatic Cancer	Female	15-29	0,144	0,134	0,154	0	0	0	0
2024	Pancreatic Cancer	Female	30-44	0,164	0,155	0,173	9	1	1	2
2024	Pancreatic Cancer	Female	45-59	0,162	0,153	0,172	108	17	17	19
2024	Pancreatic Cancer	Female	60+	0,17	0,161	0,179	922	157	148	165
2012	Pancreatic Cancer	Male	15-29	0,06	0,051	0,069	1	0	0	0
2012	Pancreatic Cancer	Male	30-44	0,069	0,06	0,077	12	1	1	1
2012	Pancreatic Cancer	Male	45-59	0,077	0,067	0,086	113	9	8	10
