Year,disease,sex,age_group,AAF_pipeline,LL_pipeline,UL_pipeline,muertes_pipeline,att_mort_pipeline,att_mort_low_pipeline,att_mort_up_pipeline,AAF_jrt,LL_jrt,UL_jrt,muertes_jrt,att_mort_jrt,att_mort_low_jrt,att_mort_up_jrt,diff_AAF,diff_muertes,diff_att_mort
2014,Larynx Cancer,Female,30-44,0.13126566150107516,-0.04328447545046568,0.3270040700376669,1,0,-0,0,0.111,0.098,0.125,1,0,0,0,0.020265661501075158,0,0
2014,Larynx Cancer,Female,45-59,0.11018810642175535,-0.07616551890470666,0.3190512770516205,3,0,-0,1,0.105,0.094,0.117,3,0,0,0,0.005188106421755351,0,0
2014,Larynx Cancer,Female,60+,0.09957937565243921,-0.07829730030022473,0.30540172363947854,23,2,-2,7,0.092,0.083,0.101,23,2,2,2,0.007579375652439213,0,0
2014,Larynx Cancer,Male,15-29,0.20090119535169187,0.0900770148132639,0.32844393464140015,0,0,0,0,0.183,0.149,0.219,0,0,0,0,0.01790119535169188,0,0
2014,Larynx Cancer,Male,30-44,0.21980210864333438,0.10944170945201527,0.34522872140377514,1,0,0,0,0.199,0.161,0.238,1,0,0,0,0.02080210864333437,0,0
2014,Larynx Cancer,Male,45-59,0.2063335430007038,0.06488072288455855,0.36300651804053247,14,3,1,5,0.207,0.17,0.246,14,3,2,3,-6.664569992961833e-4,0,0
2014,Larynx Cancer,Male,60+,0.1836301823317591,0.03251302683515953,0.3482398113912011,112,21,4,39,0.177,0.147,0.21,112,20,16,24,0.006630182331759105,0,1
2016,Larynx Cancer,Female,15-29,0.11755425262397359,-0.042068546868939384,0.3132800970116443,0,0,-0,0,0.112,0.098,0.127,0,0,0,0,0.005554252623973591,0,0
2016,Larynx Cancer,Female,30-44,0.12863391742746472,-0.06891394477073066,0.3361600437412315,0,0,-0,0,0.107,0.097,0.118,0,0,0,0,0.02163391742746472,0,0
2016,Larynx Cancer,Female,45-59,0.1000002804979114,-0.11903363661795043,0.329974885307832,3,0,-0,1,0.098,0.09,0.106,3,0,0,0,0.0020002804979113997,0,0
2016,Larynx Cancer,Female,60+,0.09627328216700283,-0.12801997560221026,0.3276303269501654,15,1,-2,5,0.093,0.087,0.1,15,1,1,2,0.0032732821670028306,0,0
2016,Larynx Cancer,Male,15-29,0.1787907234407839,0.05726401975013794,0.32079622196152774,0,0,0,0,0.173,0.143,0.206,0,0,0,0,0.005790723440783907,0,0
2016,Larynx Cancer,Male,30-44,0.1875134323022714,0.05975091310627702,0.3380489051943672,2,0,0,1,0.172,0.142,0.203,2,0,0,0,0.015513432302271424,0,0
2016,Larynx Cancer,Male,45-59,0.19299446577761858,0.04580928316731009,0.3578722577905751,20,4,1,7,0.18,0.15,0.212,20,4,3,4,0.012994465777618591,0,0
2016,Larynx Cancer,Male,60+,0.15070834852257078,-0.043437766204930964,0.35893100067073785,86,13,-4,31,0.157,0.135,0.182,86,14,12,16,-0.0062916514774292165,0,-1
2018,Larynx Cancer,Female,15-29,0.10844190186462822,-0.07421659212988514,0.3124841155104032,0,0,-0,0,0.108,0.096,0.122,0,0,0,0,4.4190186462822467e-4,0,0
