Year	disease	sex	age_group	AAF	LL	UL	muertes	att_mort	att_mort_low	att_mort_up
2018	Colorectal Cancer	Male	15-29	0.2867770082042102	0.25173090872084714	0.3224553566531289	8	2	2	3
2018	Colorectal Cancer	Male	30-44	0.2973586536748443	0.2600471140746203	0.3347826300725626	42	12	11	14
2018	Colorectal Cancer	Male	45-59	0.3200949693942473	0.2838426723875207	0.35646627644174556	223	71	63	79
2018	Colorectal Cancer	Male	60+	0.3459479675026695	0.30129760470589395	0.39037379339547673	1161	402	350	453
2020	Colorectal Cancer	Female	15-29	0.04872932086294775	-0.06251545507968913	0.16285870952646117	6	0	-0	1
2020	Colorectal Cancer	Female	30-44	0.04368509582651673	-0.06371235267676817	0.155043444309889	48	2	-3	7
2020	Colorectal Cancer	Female	45-59	0.04621504339895857	-0.07230388287688151	0.17007300482755036	232	11	-17	39
2020	Colorectal Cancer	Female	60+	0.038977615328352776	-0.09213589945596534	0.17071529229287627	1248	49	-115	213
2020	Colorectal Cancer	Male	15-29	0.3034828748106353	0.2649052357845718	0.34277809512686397	4	1	1	1
2020	Colorectal Cancer	Male	30-44	0.31272273038024934	0.2738027032917302	0.3513159115609284	55	17	15	19
2020	Colorectal Cancer	Male	45-59	0.3327680839512689	0.2915744065914014	0.3720310832164266	226	75	66	84
2020	Colorectal Cancer	Male	60+	0.3582464719269738	0.31382286303638224	0.40085865234747964	1342	481	421	538
2022	Colorectal Cancer	Female	15-29	0.04699140196960918	-0.06088317812791573	0.16046769237576985	6	0	-0	1
2022	Colorectal Cancer	Female	30-44	0.05061382215308293	-0.06102812472376702	0.16612030320819404	66	3	-4	11
2022	Colorectal Cancer	Female	45-59	0.03886536647340076	-0.08545220909090406	0.16886299255929663	237	9	-20	40
2022	Colorectal Cancer	Female	60+	0.035550956022185165	-0.08821893130852776	0.16174170710078872	1400	50	-124	226
2022	Colorectal Cancer	Male	15-29	0.31019325091324357	0.2742756260854556	0.3456645082509056	7	2	2	2
2022	Colorectal Cancer	Male	30-44	0.31758511681759066	0.28199637839039365	0.3528507263012858	54	17	15	19
2022	Colorectal Cancer	Male	45-59	0.3416734768902634	0.3040694749502313	0.3778780546384047	293	100	89	111
2022	Colorectal Cancer	Male	60+	0.37378285315167237	0.3335745410970387	0.4138931180258786	1457	545	486	603
2024	Colorectal Cancer	Female	15-29	0.04176950675116373	-0.0574582772482363	0.14622424581438276	3	0	-0	0
2024	Colorectal Cancer	Female	30-44	0.04521662430948016	-0.0703285716038776	0.16369377280813655	62	3	-4	10
2024	Colorectal Cancer	Female	45-59	0.0366095815266931	-0.07801067068898553	0.15669819669712234	251	9	-20	39
2024	Colorectal Cancer	Female	60+	0.03508025964188574	-0.09109178228914144	0.16493240998282213	1590	56	-145	262
2024	Colorectal Cancer	Male	15-29	0.31422062645976623	0.2761753375902878	0.35375683625230747	8	3	2	3
2024	Colorectal Cancer	Male	30-44	0.3232102134229851	0.28638484429991673	0.3602982819233803	61	20	17	22
2024	Colorectal Cancer	Male	45-59	0.3325432791165339	0.29504238763313545	0.37076570473523734	296	98	87	110
2024	Colorectal Cancer	Male	60+	0.380641709390067	0.3378055772009435	0.421735826961127	1657	631	560	699
2012	Larynx Cancer	Female	15-29	0.1225662138906585	-0.03762047279617162	0.30978231666497336	0	0	-0	0
2012	Larynx Cancer	Female	30-44	0.09760533038030984	-0.0814740782863771	0.3031388447878595	0	0	-0	0
2012	Larynx Cancer	Female	45-59	0.11291408804790883	-0.04776693169977227	0.2996801827573368	3	0	-0	1
2012	Larynx Cancer	Female	60+	0.08171408745960274	-0.08760682102264285	0.28111438846277914	21	2	-2	6
2012	Larynx Cancer	Male	15-29	0.1687643181781527	0.07466200414021483	0.28750942203212254	0	0	0	0
2012	Larynx Cancer	Male	30-44	0.17292576461166864	0.0635722352676253	0.3066852170668432	1	0	0	0
2012	Larynx Cancer	Male	45-59	0.194820111389374	0.06812884763396171	0.34267120317614486	25	5	2	9
2012	Larynx Cancer	Male	60+	0.15183062428889407	0.001901016912732798	0.3280982524343623	102	15	0	33
2014	Larynx Cancer	Female	15-29	0.12473843372052834	-0.05056349798803515	0.3157773220625874	0	0	-0	0
2014	Larynx Cancer	Female	30-44	0.13126566150107516	-0.04328447545046568	0.3270040700376669	1	0	-0	0
2014	Larynx Cancer	Female	45-59	0.11018810642175535	-0.07616551890470666	0.3190512770516205	3	0	-0	1
2014	Larynx Cancer	Female	60+	0.09957937565243921	-0.07829730030022473	0.30540172363947854	23	2	-2	7
2014	Larynx Cancer	Male	15-29	0.20090119535169187	0.0900770148132639	0.32844393464140015	0	0	0	0
2014	Larynx Cancer	Male	30-44	0.21980210864333438	0.10944170945201527	0.34522872140377514	1	0	0	0
2014	Larynx Cancer	Male	45-59	0.2063335430007038	0.06488072288455855	0.36300651804053247	14	3	1	5
2014	Larynx Cancer	Male	60+	0.1836301823317591	0.03251302683515953	0.3482398113912011	112	21	4	39
2016	Larynx Cancer	Female	15-29	0.11755425262397359	-0.042068546868939384	0.3132800970116443	0	0	-0	0
2016	Larynx Cancer	Female	30-44	0.12863391742746472	-0.06891394477073066	0.3361600437412315	0	0	-0	0
2016	Larynx Cancer	Female	45-59	0.1000002804979114	-0.11903363661795043	0.329974885307832	3	0	-0	1
2016	Larynx Cancer	Female	60+	0.09627328216700283	-0.12801997560221026	0.3276303269501654	15	1	-2	5
2016	Larynx Cancer	Male	15-29	0.1787907234407839	0.05726401975013794	0.32079622196152774	0	0	0	0
2016	Larynx Cancer	Male	30-44	0.1875134323022714	0.05975091310627702	0.3380489051943672	2	0	0	1
2016	Larynx Cancer	Male	45-59	0.19299446577761858	0.04580928316731009	0.3578722577905751	20	4	1	7
2016	Larynx Cancer	Male	60+	0.15070834852257078	-0.043437766204930964	0.35893100067073785	86	13	-4	31
2018	Larynx Cancer	Female	15-29	0.10844190186462822	-0.07421659212988514	0.3124841155104032	0	0	-0	0
2018	Larynx Cancer	Female	30-44	0.10518820796273023	-0.09114227516560788	0.3204237112655156	0	0	-0	0
2018	Larynx Cancer	Female	45-59	0.09715488738450144	-0.14424140755129797	0.33730693846938126	2	0	-0	1
2018	Larynx Cancer	Female	60+	0.09688872284463772	-0.1421691886120818	0.3385907508142578	22	2	-3	7
2018	Larynx Cancer	Male	15-29	0.16641033632616942	0.040617630002078034	0.31936605533565615	0	0	0	0
2018	Larynx Cancer	Male	30-44	0.1896792309778351	0.06680770319686964	0.33538828525587044	2	0	0	1
2018	Larynx Cancer	Male	45-59	0.18645599732947157	0.046198421584803785	0.3455673951268001	20	4	1	7
2018	Larynx Cancer	Male	60+	0.1465185873669259	-0.043493840996083784	0.3535913012750816	98	14	-4	35
2020	Larynx Cancer	Female	15-29	0.12678595079747088	-0.07508030699889857	0.3399973239525161	0	0	-0	0
2020	Larynx Cancer	Female	30-44	0.11557282695045802	-0.0818593830677305	0.3267241243948912	0	0	-0	0
2020	Larynx Cancer	Female	45-59	0.12315626018241232	-0.09389879182309219	0.35321642195191105	3	0	-0	1
